date,city,temperature_celsius,humidity_percent,wind_speed_kmh,precipitation_mm,weather_condition,pressure_hpa,visibility_km,uv_index
2024-01-01,New York,2.3,75,15.2,0.0,Partly Cloudy,1018.5,12.0,1
2024-01-01,Los Angeles,18.5,45,8.0,0.0,Sunny,1015.2,25.0,4
2024-01-01,Chicago,-5.1,82,22.5,2.5,Snow,1021.8,5.0,1
2024-01-01,Houston,14.2,68,12.0,0.0,Cloudy,1016.0,18.0,2
2024-01-01,Phoenix,15.8,30,10.5,0.0,Sunny,1014.3,35.0,4
2024-01-02,New York,1.1,78,18.0,3.2,Rain,1015.0,8.0,1
2024-01-02,Los Angeles,19.2,42,6.5,0.0,Sunny,1014.8,28.0,4
2024-01-02,Chicago,-8.3,85,25.0,5.0,Heavy Snow,1022.5,2.0,1
2024-01-02,Houston,12.5,72,14.0,1.5,Cloudy,1015.5,15.0,2
2024-01-02,Phoenix,17.0,28,9.0,0.0,Sunny,1013.8,38.0,5
2024-01-03,New York,4.5,70,12.0,0.0,Cloudy,1017.2,14.0,2
2024-01-03,Los Angeles,20.1,40,7.0,0.0,Sunny,1015.5,30.0,5
2024-01-03,Chicago,-3.2,79,20.0,0.8,Light Snow,1020.0,7.0,1
2024-01-03,Houston,16.8,65,10.0,0.0,Partly Cloudy,1016.8,20.0,3
2024-01-03,Phoenix,18.5,25,11.0,0.0,Sunny,1014.0,40.0,5
2024-01-04,New York,6.2,65,10.0,0.0,Sunny,1019.5,20.0,2
2024-01-04,Los Angeles,21.3,38,5.0,0.0,Sunny,1016.0,32.0,5
2024-01-04,Chicago,0.5,75,17.0,0.0,Partly Cloudy,1018.5,10.0,2
2024-01-04,Houston,18.2,60,8.5,0.0,Sunny,1017.5,22.0,3
2024-01-04,Phoenix,20.2,22,8.0,0.0,Sunny,1013.5,42.0,6
2024-01-05,New York,3.8,80,20.0,5.5,Heavy Rain,1012.0,6.0,1
2024-01-05,Los Angeles,16.7,55,12.0,8.2,Rain,1012.5,10.0,2
2024-01-05,Chicago,-6.0,88,28.0,7.5,Blizzard,1023.0,1.5,1
2024-01-05,Houston,10.5,78,18.0,12.0,Thunderstorm,1013.0,8.0,1
2024-01-05,Phoenix,14.0,35,15.0,2.0,Cloudy,1015.0,25.0,3
2024-01-06,New York,8.5,62,8.0,0.0,Sunny,1022.0,25.0,2
2024-01-06,Los Angeles,22.4,35,4.0,0.0,Sunny,1016.5,35.0,5
2024-01-06,Chicago,2.1,72,15.0,0.0,Partly Cloudy,1019.0,12.0,2
2024-01-06,Houston,20.5,55,7.0,0.0,Sunny,1018.0,28.0,3
2024-01-06,Phoenix,22.8,20,7.5,0.0,Sunny,1013.0,45.0,6
2024-01-07,New York,5.2,72,14.0,1.8,Drizzle,1016.0,10.0,1
2024-01-07,Los Angeles,18.9,48,9.0,0.0,Partly Cloudy,1015.0,22.0,4
2024-01-07,Chicago,-1.5,77,19.0,1.2,Light Snow,1019.8,8.0,1
2024-01-07,Houston,15.8,62,11.0,0.0,Partly Cloudy,1017.0,20.0,3
2024-01-07,Phoenix,19.5,28,10.0,0.0,Sunny,1014.5,38.0,5
2024-02-01,New York,3.5,74,16.0,0.5,Cloudy,1017.0,11.0,2
2024-02-01,Los Angeles,17.8,50,8.5,0.0,Partly Cloudy,1014.5,24.0,4
